id,hex_1,hex_2,hex_3,hex_4,hex_5,timestamp,grade
0cfd36ce-c966-11eb-bc97-34c93d2d73c7,#480397,#f0c9be,null,null,null,2021-06-09 17:02:50.788794,4
1c1d13de-c966-11eb-93a7-34c93d2d73c7,#ca1a50,#9c26ac,#64c7f5,null,null,2021-06-09 17:03:16.164579,6
20132061-c966-11eb-bc38-34c93d2d73c7,#faf82f,#4585da,#fe666d,null,null,2021-06-09 17:03:22.807392,5
2ab87dfb-c966-11eb-9381-34c93d2d73c7,#7089ba,#f293c0,#f890c6,null,null,2021-06-09 17:03:40.673615,3
2e472052-c966-11eb-a111-34c93d2d73c7,#e7b5bd,#1b2f57,#ed7ca9,#124c01,null,2021-06-09 17:03:46.663151,3
357f5478-c966-11eb-9f2e-34c93d2d73c7,#0ecb3f,#4d9022,null,null,null,2021-06-09 17:03:58.747568,6
382be3a3-c966-11eb-83a6-34c93d2d73c7,#3318ae,#fab9e7,#3c6256,#d7a175,null,2021-06-09 17:04:03.237885,4
3afd197d-c966-11eb-8b69-34c93d2d73c7,#f6d7e4,#8f60fc,null,null,null,2021-06-09 17:04:07.948502,6
3e0a2ed4-c966-11eb-97ff-34c93d2d73c7,#166d0a,#be7c89,null,null,null,2021-06-09 17:04:13.069787,6
41864e0e-c966-11eb-8907-34c93d2d73c7,#81e706,#82590e,#8bb684,#c5ae2d,null,2021-06-09 17:04:18.931029,1
44379fcb-c966-11eb-a6d6-34c93d2d73c7,#eb9be0,#286d66,#df592d,null,null,2021-06-09 17:04:23.444657,7
499200fb-c966-11eb-a6fc-34c93d2d73c7,#52d71b,#60d3e1,#b25e4f,null,null,2021-06-09 17:04:32.412381,1
4db2eb06-c966-11eb-a5bc-34c93d2d73c7,#74ace9,#db83ea,#8be34b,#0e8fde,null,2021-06-09 17:04:39.366910,3
bc5835e2-c967-11eb-ab65-34c93d2d73c7,#8c159b,#887907,null,null,null,2021-06-09 17:14:54.500319,3
bffcfe76-c967-11eb-b799-34c93d2d73c7,#f3887a,#5fecf7,#63deca,#73bf6a,null,2021-06-09 17:15:00.589390,3
c4038195-c967-11eb-a259-34c93d2d73c7,#fc9f23,#52affc,#d5a641,null,null,2021-06-09 17:15:07.346382,4
c63f22a4-c967-11eb-a568-34c93d2d73c7,#b2e551,#494330,null,null,null,2021-06-09 17:15:11.089279,5
c8fcc0cb-c967-11eb-a783-34c93d2d73c7,#4b30b0,#5850c9,#24f4ca,null,null,2021-06-09 17:15:15.695337,7
